Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body
31,250406,Bt3,Auger,,118-150+,32,,2.5YR4/6,,Not Found,,,,,2MSBK,,VF root,4/16/2025,,,,,,,
32,250407,Ap,Probe,,0-10,10,C,10YR4/3,,Not Found,,,,,1MGr,,,4/16/2025,,,,,,,
32,250408,BA,Probe,,10-20,10,C,7.5YR3/4,,Not Found,,,,,2MSBK,,org stains,4/16/2025,,,,,,,
32,250409,Bt1,Probe,,20-47,27,Gr,7.5YR4/6,,Not Found,,,,,2MSBK,,Few org stains,4/16/2025,,,,,,,
32,250410,Bt2,Probe/Auger,,47-112,65,C,7.5YR5/8,,Not Found,,,,,1MSBK,,few charcoal,4/16/2025,,,Yes,,,,
32,250411,Bt3,Auger,,112-150+,38,,10YR5/8,,Not Found,,,,,2MSBK,,,4/16/2025,,,,,,,
33,250412,Ap,Probe,,0-22,22,Ab,10YR4/3,,Not Found,,,S,,1MGr,,,4/16/2025,,,,,,,
33,250413,BA,Probe,,22-42,20,C,10YR4/6,,Not Found,,,,,1MSBK,,org stains common,4/16/2025,,,,,,,
33,250414,Bt1,Probe,,42-77,35,Gr,7.5YR4/6,,Not Found,,,,,2MSBK,,VF roots common,4/16/2025,,,,,,,
33,250415,Bt2,Probe/Auger,,77-120,43,Gr,7.5YR5/8,,Not Found,,,,,2CoSBK,,VF roots common,4/16/2025,,,,,,,
33,250416,Bt3,Auger,,120-154+,34,,10YR5/8,,Not Found,,,SCL,,2CoSBK,,,4/16/2025,,,,,,,
34,240346,Ap1,Auger,Bonneau,0-11,11,A,10YR4/2,5.99,82.25,11.76,LS,,,1FGr,VFR,,5/29/2024,,,,,,,
34,240347,Ap2,Auger,Bonneau,11-34,23,A,10YR5/3,5.48,86.6,7.92,LS,,,1MGr,VFR,,5/29/2024,,,,,,,
34,240348,Bt1,Auger,Bonneau,34-60,26,C,10YR5/6,23.2,62.25,14.55,SCL,,,2MSBK,FR,2% 7.5YR 5/8,5/29/2024,,,,,,,
34,240349,Bt2,Auger,Bonneau,60-100,40,C,2.5Y5/6,9.245,79.2,11.555,SL,,,2MSBK,FR,Hit water table. 10YR4/6 soft iron mass accumulations. 2% 2.5Y7/2 depletions.,5/29/2024,60 cm,,,Yes,Yes,,
34,240350,Btv1,Auger,Bonneau,100-127,27,C,2.5Y6/4,8.075,81.65,10.275,LS,,,2MSBK,FR,10YR4/6 plinthite. 2.5Y5/6 concentrations. 2.5Y6/2 depletions,5/29/2024,,,,Yes,Yes,,
